document,subject,mourning_hits,deference_hits,classification,mourning_terms,deference_terms
IOR_R_15_2_56_0062_24r,,5,0,mourning only,condolence:3; shocked:1; tragic:1,
IOR_R_15_2_56_0060_23r,,4,0,mourning only,condolence:1; sympathy:1; sad:2,
IOR_R_15_1_753_0237_116r,,2,1,mourning + deference,regret:1; profound:1,gracious:1
IOR_R_15_1_753_0241_118r,,2,0,mourning only,mourning:2,
IOR_R_15_2_1668_0021_11r,,2,0,mourning only,regret:1; condolences:1,
IOR_R_15_2_1668_0007_4r,,1,0,mourning only,regret:1,
IOR_R_15_2_1733_0003_1r,,1,0,mourning only,regret:1,
IOR_R_15_2_1733_0027_13r,,1,0,mourning only,regret:1,
IOR_R_15_2_1733_0039_19r,,1,0,mourning only,regret:1,
IOR_R_15_2_1733_0117_58r,,1,0,mourning only,regret:1,
IOR_R_15_2_1733_0123_61r,,1,0,mourning only,regret:1,
IOR_R_15_5_19_0119_60r,,1,0,mourning only,shocked:1,
IOR_R_15_2_1668_0019_10r,,0,2,deference only,,friendship:1; friend:1
IOR_R_15_5_19_0121_61r,,0,2,deference only,,loyalty:1; attachment:1
IOR_R_15_1_212_0086_40r,,0,1,deference only,,grateful:1
IOR_R_15_1_212_0155_74v,,0,1,deference only,,grateful:1
IOR_R_15_1_753_0238_116v,,0,1,deference only,,gracious:1
IOR_R_15_1_753_0493_240r,,0,1,deference only,,indebted:1
IOR_R_15_2_1050_0289_145r,,0,1,deference only,,faithfully:1
IOR_R_15_2_1293_0021_11r,,0,1,deference only,,friendship:1
IOR_R_15_2_1293_0035_18r,,0,1,deference only,,esteemed:1
IOR_R_15_2_1293_0041_21r,,0,1,deference only,,esteemed:1
IOR_R_15_2_1585_0021_11r,,0,1,deference only,,devotion:1
IOR_R_15_2_1733_0029_14r,,0,1,deference only,,faithfully:1
